question_text,option_a,option_b,option_c,correct_answer,difficulty
"Sports trivia: How many Olympic gold medals did Michael Phelps win?","18","23","28","B","medium"
"Quiz question: What is a 'hat trick' in hockey?","2 goals","3 goals","4 goals","B","medium"
"Quiz question: What is the Six Nations?","Football tournament","Rugby tournament","Cricket series","B","medium"
"Sports trivia: How many players are on a basketball team on court?","4","5","6","B","medium"
"Quiz question: What does NBA stand for?","National Basketball Association","North American Basketball Association","National Ball Association","A","medium"
"Sports trivia: Which country won the 2023 Cricket World Cup?","India","Australia","England","B","medium"
"Quiz question: How many players are on a basketball team on court?","4","5","6","B","medium"
"Sports trivia: How many NBA championships did Michael Jordan win?","4","5","6","C","medium"
"Quiz question: What is the height of an NBA basketball hoop?","10 feet","11 feet","12 feet","A","medium"
"Sports trivia: How many rounds in a UFC title fight?","3","5","7","B","medium"
"Sports trivia: Which team won the 2023 NBA Championship?","Miami Heat","Denver Nuggets","Boston Celtics","B","medium"
"Quiz question: What is a 'deuce' in tennis?","40-40","30-30","15-15","A","medium"
"Sports trivia: How many players are on a rugby union team?","13","15","11","B","medium"
"General sports: How many balls are in a cricket over?","5","6","8","B","medium"
"Sports trivia: How long is a boxing round?","2 minutes","3 minutes","5 minutes","B","medium"
"Sports trivia: What is the fastest swimming stroke?","Breaststroke","Freestyle/Front crawl","Backstroke","B","medium"
"General sports: Who won the 2023 Rugby World Cup?","New Zealand","South Africa","France","B","medium"
"General sports: What is the triple jump?","Three running jumps","Hop, step and jump","High jump variation","B","medium"
"Sports trivia: How many strikes for a strikeout?","2","3","4","B","medium"
"General sports: What is the 100m world record?","9.48 seconds","9.58 seconds","9.69 seconds","B","medium"
"Sports trivia: What is the pole vault?","Running event","Jumping over bar with pole","Throwing event","B","medium"
"Quiz question: What do the five Olympic rings represent?","Elements","Continents","Sports","B","easy"
"Sports trivia: What is a 'peloton' in cycling?","A type of bike","Main group of riders","A race stage","B","medium"
"Sports trivia: Where is the Australian Open held?","Sydney","Melbourne","Brisbane","B","medium"
"General sports: How long is an Olympic swimming pool?","25 meters","50 meters","100 meters","B","medium"
"General sports: How many rounds are in a professional boxing match?","10","12","15","B","medium"
"General sports: How many major championships are in golf?","3","4","5","B","medium"
"Quiz question: How long is a marathon race?","40 km","42.195 km","45 km","B","medium"
"Sports trivia: Which country has won the most Olympic gold medals?","China","USA","Russia","B","easy"
"General sports: How long is a boxing round?","2 minutes","3 minutes","5 minutes","B","medium"
"General sports: What does UFC stand for?","Ultimate Fighting Championship","Universal Fighting Championship","United Fighting Competition","A","medium"
"General sports: Where is the Monaco Grand Prix held?","France","Monaco","Italy","B","medium"
"Quiz question: Which female player has the most Grand Slam titles all-time?","Serena Williams","Margaret Court","Steffi Graf","B","medium"
"Quiz question: Who holds the record for most points in a single NBA game?","Kobe Bryant","Michael Jordan","Wilt Chamberlain","C","medium"
"Sports trivia: What is a 'scrum' in rugby?","A type of kick","Players pushing for the ball","A scoring move","B","medium"
"Sports trivia: Who has won the most Grand Slam titles in men's tennis?","Rafael Nadal","Novak Djokovic","Roger Federer","B","medium"
"Quiz question: What is MLB?","Major League Basketball","Major League Baseball","Minor League Baseball","B","medium"
"Quiz question: Which country has won the most Olympic gold medals?","China","USA","Russia","B","easy"
"Sports trivia: What is a 'love' in tennis scoring?","15 points","Zero points","30 points","B","medium"
"Quiz question: What is a 'duck' in cricket?","A type of delivery","Getting out for zero","A fielding position","B","medium"
"General sports: What is a 'triple-double' in basketball?","Three 3-pointers","Double figures in 3 stats","30 points","B","medium"
"General sports: How often are the Summer Olympics held?","Every 2 years","Every 4 years","Every 5 years","B","easy"
"General sports: Who holds the record for most points in a single NBA game?","Kobe Bryant","Michael Jordan","Wilt Chamberlain","C","medium"
"Sports trivia: What is the triple jump?","Three running jumps","Hop, step and jump","High jump variation","B","medium"
"General sports: What color is the Ferrari F1 car?","Blue","Red","Silver","B","medium"
"General sports: Who is the NBA's all-time leading scorer?","Kareem Abdul-Jabbar","LeBron James","Michael Jordan","B","medium"
"General sports: How many runners in a 4x100m relay team?","3","4","5","B","medium"
"General sports: Who is Wayne Gretzky?","Basketball legend","Hockey legend","Football legend","B","medium"
"Sports trivia: Where is the Masters Tournament held?","Augusta, Georgia","St Andrews, Scotland","Pebble Beach, California","A","medium"
"Quiz question: What is a 'submission' in MMA?","A knockout","Opponent taps out","Decision win","B","medium"
"General sports: Which country dominates Olympic swimming?","Australia","USA","China","B","medium"
"Quiz question: Where were the 2020 Olympics held?","Beijing","Tokyo","Paris","B","easy"
"Quiz question: Who is the fastest man in history?","Usain Bolt","Carl Lewis","Tyson Gay","A","medium"
"Quiz question: What is the highest individual score in Test cricket?","334","400","501","B","medium"
"Sports trivia: What is a 'duck' in cricket?","A type of delivery","Getting out for zero","A fielding position","B","medium"
"General sports: Where is the Masters Tournament held?","Augusta, Georgia","St Andrews, Scotland","Pebble Beach, California","A","medium"
"Quiz question: What is a 'knockout' in boxing?","Winning by points","Opponent can't continue after count","Referee stops fight","B","medium"
"Sports trivia: How many points does an F1 race winner receive?","20","25","30","B","medium"
"Sports trivia: What is the NHL?","National Hockey League","Northern Hockey League","National Hockey League","A","medium"
"Sports trivia: Who is known as 'The King' in NBA?","Kobe Bryant","LeBron James","Stephen Curry","B","medium"
"Quiz question: What is a 'peloton' in cycling?","A type of bike","Main group of riders","A race stage","B","medium"
"Quiz question: What is a 'bogey' in golf?","One under par","One over par","Two over par","B","medium"
"General sports: What is the fastest swimming stroke?","Breaststroke","Freestyle/Front crawl","Backstroke","B","medium"
"Quiz question: Which country does Usain Bolt represent?","USA","Jamaica","Trinidad","B","medium"
"Quiz question: What does UFC stand for?","Ultimate Fighting Championship","Universal Fighting Championship","United Fighting Competition","A","medium"
"General sports: How many players are on a rugby union team?","13","15","11","B","medium"
"Sports trivia: How many swimming strokes are there in competitive swimming?","3","4","5","B","medium"
"General sports: What does LBW stand for?","Leg Before Wicket","Left Bowler Wins","Long Ball Wide","A","medium"
"Quiz question: In what year were the first modern Olympics?","1896","1900","1888","A","easy"
"Sports trivia: Which team has won the most F1 Constructors Championships?","Ferrari","Mercedes","McLaren","A","medium"
"Quiz question: What is the 100m world record?","9.48 seconds","9.58 seconds","9.69 seconds","B","medium"
"Sports trivia: Which female player has the most Grand Slam titles all-time?","Serena Williams","Margaret Court","Steffi Graf","B","medium"
"Sports trivia: What surface is Wimbledon played on?","Clay","Grass","Hard court","B","medium"
"Sports trivia: Who is the most successful F1 driver of all time?","Michael Schumacher","Lewis Hamilton","Ayrton Senna","B","medium"
"General sports: Which NBA team has won the most championships?","Los Angeles Lakers","Boston Celtics","Chicago Bulls","B","medium"
"Quiz question: What is an 'eagle' in golf?","One under par","Two under par","Three under par","B","medium"
"General sports: How many holes are in a standard round of golf?","9","18","21","B","medium"
"Quiz question: Which team has won the most Stanley Cups?","Toronto Maple Leafs","Montreal Canadiens","Boston Bruins","B","medium"
"Quiz question: What is the 'Octagon' in UFC?","A move","The fighting ring","A weight class","B","medium"
"Quiz question: How many strikes for a strikeout?","2","3","4","B","medium"
"Quiz question: Who has won the most Masters titles?","Tiger Woods","Jack Nicklaus","Arnold Palmer","B","medium"
"General sports: What is MLB?","Major League Basketball","Major League Baseball","Minor League Baseball","B","medium"
"Sports trivia: Which country does Usain Bolt represent?","USA","Jamaica","Trinidad","B","medium"
"Sports trivia: Where did the ancient Olympics originate?","Rome","Greece","Egypt","B","easy"
"Sports trivia: What do the five Olympic rings represent?","Elements","Continents","Sports","B","easy"
"General sports: What is 'par' in golf?","The expected number of strokes","A type of club","A penalty","A","medium"
"General sports: Where did the ancient Olympics originate?","Rome","Greece","Egypt","B","easy"
"Quiz question: Where is the Masters Tournament held?","Augusta, Georgia","St Andrews, Scotland","Pebble Beach, California","A","medium"
"Sports trivia: What is a 'bogey' in golf?","One under par","One over par","Two over par","B","medium"
"Quiz question: How many players are on a cricket team?","10","11","12","B","medium"
"Sports trivia: Which team has won the most World Series?","Boston Red Sox","New York Yankees","Los Angeles Dodgers","B","medium"
"Quiz question: What does LBW stand for?","Leg Before Wicket","Left Bowler Wins","Long Ball Wide","A","medium"
"Quiz question: How long is a boxing round?","2 minutes","3 minutes","5 minutes","B","medium"
"Sports trivia: How many balls are in a cricket over?","5","6","8","B","medium"
"Sports trivia: Who holds the record for most points in a single NBA game?","Kobe Bryant","Michael Jordan","Wilt Chamberlain","C","medium"
"General sports: What is the highest individual score in Test cricket?","334","400","501","B","medium"
"Quiz question: Which team won the 2023 NBA Championship?","Miami Heat","Denver Nuggets","Boston Celtics","B","medium"
"General sports: How many swimming strokes are there in competitive swimming?","3","4","5","B","medium"
"Sports trivia: What is the 100m world record?","9.48 seconds","9.58 seconds","9.69 seconds","B","medium"
"General sports: What is a 'hat trick' in hockey?","2 goals","3 goals","4 goals","B","medium"
"Quiz question: Which player has won the most NBA MVP awards?","Michael Jordan","Kareem Abdul-Jabbar","LeBron James","B","medium"
"General sports: What is the 'haka'?","A rugby move","New Zealand war dance","A type of kick","B","medium"
"Sports trivia: How many players are on a cricket team?","10","11","12","B","medium"
"Quiz question: Which country won the 2023 Cricket World Cup?","India","Australia","England","B","medium"
"General sports: What is the individual medley in swimming?","All 4 strokes","2 strokes","3 strokes","A","medium"
"Quiz question: Who has won the most Grand Slam titles in men's tennis?","Rafael Nadal","Novak Djokovic","Roger Federer","B","medium"
"General sports: How many points does an F1 race winner receive?","20","25","30","B","medium"
"Sports trivia: What does LBW stand for?","Leg Before Wicket","Left Bowler Wins","Long Ball Wide","A","medium"
"Sports trivia: What is a 'try' worth in rugby union?","3 points","5 points","7 points","B","medium"
"General sports: What does NBA stand for?","National Basketball Association","North American Basketball Association","National Ball Association","A","medium"
"Sports trivia: Who is 'The Greek Freak'?","Luka Doncic","Giannis Antetokounmpo","Nikola Jokic","B","medium"
"Sports trivia: What was Muhammad Ali's birth name?","Cassius Clay","Michael Clay","Robert Clay","A","medium"
"Quiz question: What is a 'birdie' in golf?","One over par","One under par","Two under par","B","medium"
"Quiz question: Who is Floyd Mayweather Jr?","Heavyweight champion","Undefeated welterweight champion","MMA fighter","B","medium"
"Sports trivia: Which NBA team has won the most championships?","Los Angeles Lakers","Boston Celtics","Chicago Bulls","B","medium"
"General sports: Who is the most decorated Olympian of all time?","Usain Bolt","Michael Phelps","Carl Lewis","B","medium"
"General sports: What is the decathlon?","5 events","10 events","15 events","B","medium"
"General sports: What is the Ashes series between?","England vs India","England vs Australia","Australia vs India","B","medium"
"General sports: Where were the 2020 Olympics held?","Beijing","Tokyo","Paris","B","easy"
"Sports trivia: In what year were the first modern Olympics?","1896","1900","1888","A","easy"
"Sports trivia: How many rounds are in a professional boxing match?","10","12","15","B","medium"
"Quiz question: Who holds the record for highest Test score?","Don Bradman","Brian Lara","Matthew Hayden","B","medium"
"General sports: What is the 'Octagon' in UFC?","A move","The fighting ring","A weight class","B","medium"
"Quiz question: Which team has won the most World Series?","Boston Red Sox","New York Yankees","Los Angeles Dodgers","B","medium"
"General sports: Who holds the record for highest Test score?","Don Bradman","Brian Lara","Matthew Hayden","B","medium"
"Sports trivia: What color jersey does the Tour de France leader wear?","Green","Yellow","Red","B","medium"
"Quiz question: How many players are on a rugby union team?","13","15","11","B","medium"
"Sports trivia: What is a 'submission' in MMA?","A knockout","Opponent taps out","Decision win","B","medium"
"General sports: What is the Tour de France?","Running race","Cycling race","Swimming competition","B","medium"
"Quiz question: Which country dominates Olympic swimming?","Australia","USA","China","B","medium"
"Sports trivia: How long is the Tour de France?","About 2 weeks","About 3 weeks","About 1 month","B","medium"
"Sports trivia: Who is considered the greatest boxer of all time?","Mike Tyson","Muhammad Ali","Floyd Mayweather","B","medium"
"General sports: What does DRS stand for in F1?","Drag Reduction System","Dynamic Racing Speed","Drive Rate System","A","medium"
"Sports trivia: How many major championships are in golf?","3","4","5","B","medium"
"Sports trivia: How many runners in a 4x100m relay team?","3","4","5","B","medium"
"General sports: Which country won the 2023 Cricket World Cup?","India","Australia","England","B","medium"
"Sports trivia: What is the Olympic motto?","Faster, Higher, Stronger","Unity and Peace","Excellence Always","A","easy"
"Quiz question: How many balls are in a cricket over?","5","6","8","B","medium"
"General sports: What color jersey does the Tour de France leader wear?","Green","Yellow","Red","B","medium"
"General sports: What is a 'peloton' in cycling?","A type of bike","Main group of riders","A race stage","B","medium"
"General sports: How many F1 World Championships has Lewis Hamilton won?","5","6","7","C","medium"
"General sports: What is a 'knockout' in boxing?","Winning by points","Opponent can't continue after count","Referee stops fight","B","medium"
"Quiz question: What surface is Wimbledon played on?","Clay","Grass","Hard court","B","medium"
"Quiz question: What is the decathlon?","5 events","10 events","15 events","B","medium"
"Quiz question: What is the NHL?","National Hockey League","Northern Hockey League","National Hockey League","A","medium"
"Quiz question: How many rounds in a UFC title fight?","3","5","7","B","medium"
"General sports: What is a 'love' in tennis scoring?","15 points","Zero points","30 points","B","medium"
"General sports: What was Muhammad Ali's birth name?","Cassius Clay","Michael Clay","Robert Clay","A","medium"
"Sports trivia: Who is the NBA's all-time leading scorer?","Kareem Abdul-Jabbar","LeBron James","Michael Jordan","B","medium"
"General sports: What is the butterfly stroke?","Swimming on back","Arms move together over water","Side swimming","B","medium"
"Quiz question: What is the individual medley in swimming?","All 4 strokes","2 strokes","3 strokes","A","medium"
"General sports: Who has won the most Grand Slam titles in men's tennis?","Rafael Nadal","Novak Djokovic","Roger Federer","B","medium"
"General sports: Who is 'The Greek Freak'?","Luka Doncic","Giannis Antetokounmpo","Nikola Jokic","B","medium"
"Which legendary striker is nicknamed 'The Phenomenon'?","Ronaldo Nazario","Ronaldinho","Rivaldo","A","medium"
"Who was the first African player to win the Ballon d'Or?","Samuel Eto'o","George Weah","Didier Drogba","B","medium"
"Which goalkeeper is known as 'The Black Spider'?","Gianluigi Buffon","Lev Yashin","Peter Schmeichel","B","hard"
"Who scored the 'Goal of the Century' in the 1986 World Cup?","Pele","Diego Maradona","Michel Platini","B","easy"
"Which Dutch player is known for inventing 'Total Football'?","Marco van Basten","Johan Cruyff","Ruud Gullit","B","medium"
"Who is the top scorer in Champions League history?","Lionel Messi","Cristiano Ronaldo","Robert Lewandowski","B","easy"
"Which club did Zlatan Ibrahimovic never play for?","Barcelona","Real Madrid","AC Milan","B","medium"
"Who managed Barcelona's Dream Team in the 1990s?","Louis van Gaal","Johan Cruyff","Frank Rijkaard","B","medium"
"Which English player is known as 'Golden Balls'?","Wayne Rooney","David Beckham","Michael Owen","B","easy"
"Who holds the record for most hat-tricks in La Liga?","Cristiano Ronaldo","Lionel Messi","Karim Benzema","B","medium"
"Which club did Arsene Wenger manage for 22 years?","Chelsea","Arsenal","Manchester United","B","easy"
"Who is known as 'The Special One'?","Pep Guardiola","Jose Mourinho","Carlo Ancelotti","B","easy"
"Which team won the Premier League in 2015-16 as 5000-1 outsiders?","Burnley","Leicester City","Watford","B","easy"
"Who scored 4 goals in a Premier League match for Southampton against Aston Villa in 2016?","Sadio Mane","Charlie Austin","Shane Long","A","hard"
"Which club has the most consecutive Premier League appearances?","Manchester United","Arsenal","Liverpool","B","medium"
"Who is the youngest player to score in the Premier League?","Wayne Rooney","James Vaughan","Theo Walcott","B","hard"
"Which player has made the most tackles in Premier League history?","N'Golo Kante","Gareth Barry","Sol Campbell","B","hard"
"Who is the only player to score 5 goals in a single Premier League game?","Sergio Aguero","Andy Cole","Both A and B","C","hard"
"Which club did Eric Cantona famously play for?","Liverpool","Manchester United","Arsenal","B","easy"
"Who scored the last goal at Highbury for Arsenal?","Dennis Bergkamp","Thierry Henry","Robert Pires","B","hard"
"Which country has hosted the World Cup the most times?","Brazil","Germany","Mexico","C","hard"
"Who is the youngest player to appear in a World Cup final?","Pele","Kylian Mbappe","Michael Owen","A","medium"
"Which team conceded the most goals in a single World Cup?","South Korea 1954","El Salvador 1982","Saudi Arabia 2002","A","hard"
"Who scored the opening goal of the 2022 World Cup?","Enner Valencia","Richarlison","Cody Gakpo","A","hard"
"Which African country reached the World Cup quarter-finals in 2010?","Nigeria","Ghana","Cameroon","B","medium"
"Who is the only player to score in two different World Cup finals?","Pele","Kylian Mbappe","Zinedine Zidane","B","medium"
"Which goalkeeper saved the most penalties in World Cup history?","Manuel Neuer","Harald Schumacher","Sergio Goycochea","C","hard"
"What was the score in Brazil vs Germany in the 2014 World Cup semi-final?","7-1","5-0","6-1","A","easy"
"Who captained Italy to World Cup glory in 2006?","Paolo Maldini","Fabio Cannavaro","Gianluigi Buffon","B","medium"
"Which country was disqualified from the 2010 World Cup for cheating?","None","France","Ireland","A","hard"
"Who scored the winning goal in the 2017 Champions League final?","Cristiano Ronaldo","Gareth Bale","Karim Benzema","A","medium"
"Which team completed an unprecedented sextuple in 2009?","Real Madrid","Barcelona","Manchester United","B","medium"
"Who managed Chelsea to their first Champions League title?","Jose Mourinho","Roberto Di Matteo","Carlo Ancelotti","B","medium"
"What was the score in the 2005 Champions League final at half-time?","0-3","0-2","0-1","A","medium"
"Who scored a hat-trick in 11 minutes for Real Madrid against Atletico?","Cristiano Ronaldo","Gareth Bale","Karim Benzema","A","hard"
"Which club has lost the most Champions League finals?","Bayern Munich","Juventus","Atletico Madrid","B","hard"
"Who scored the latest goal in Champions League final history?","Sergio Ramos","Didier Drogba","Ole Gunnar Solskjaer","A","hard"
"Which English team won the Champions League in 2005?","Chelsea","Liverpool","Manchester United","B","easy"
"Who managed Inter Milan to Champions League glory in 2010?","Roberto Mancini","Jose Mourinho","Rafael Benitez","B","medium"
"Which player has scored in the most Champions League finals?","Cristiano Ronaldo","Lionel Messi","Sergio Ramos","A","medium"
"Which Nigerian scored at four World Cups?","Rashidi Yekini","Victor Moses","None","C","hard"
"Who is Ghana's most capped player?","Asamoah Gyan","Andre Ayew","Michael Essien","A","hard"
"Which African team has appeared in the most World Cups?","Nigeria","Cameroon","Egypt","B","medium"
"Who scored the winner for Zambia in the 2012 AFCON final?","Emmanuel Mayuka","Stoppila Sunzu","Christopher Katongo","B","hard"
"Which Moroccan player plays for Paris Saint-Germain?","Hakim Ziyech","Achraf Hakimi","Sofyan Amrabat","B","easy"
"Who was Nigeria's coach at the 2018 World Cup?","Stephen Keshi","Gernot Rohr","Jose Peseiro","B","medium"
"Which Senegalese player was top scorer at the 2019 AFCON?","Sadio Mane","Ismaila Sarr","Neither","C","hard"
"Which Egyptian club is nicknamed 'The Red Devils'?","Zamalek","Al Ahly","Ismaily","B","medium"
"Who is the most expensive African player in history?","Victor Osimhen","Mohamed Salah","Nicolas Pepe","A","medium"
"Which Algerian won the Champions League with Chelsea?","Riyad Mahrez","Said Benrahma","None","C","hard"
"Which club has won the most Ligue 1 titles?","Lyon","Marseille","Paris Saint-Germain","C","easy"
"Who is Juventus' all-time top scorer?","Alessandro Del Piero","Giampiero Boniperti","Roberto Baggio","A","medium"
"Which Dutch club has won the most Eredivisie titles?","PSV","Ajax","Feyenoord","B","easy"
"Who won the Portuguese league in 2022-23?","Porto","Benfica","Sporting","B","medium"
"Which club is known as 'Die Werkself'?","Schalke 04","Bayer Leverkusen","Wolfsburg","B","hard"
"Who is the top scorer in Bundesliga history?","Gerd Muller","Robert Lewandowski","Karl-Heinz Rummenigge","B","medium"
"Which Italian club has the most Serie A titles?","Inter Milan","AC Milan","Juventus","C","easy"
"Who won La Liga in 2020-21?","Barcelona","Real Madrid","Atletico Madrid","C","medium"
"Which French club did Kylian Mbappe join from Monaco?","Lyon","Paris Saint-Germain","Marseille","B","easy"
"Who is the all-time top scorer in Spanish football?","Cristiano Ronaldo","Lionel Messi","Raul","B","easy"
"What formation is known as 'The Christmas Tree'?","4-4-2","4-3-2-1","3-5-2","B","hard"
"What is 'catenaccio' in football?","Attacking style","Defensive system","Corner kick routine","B","medium"
"What does 'sweeper' mean in football?","Goalkeeper","Defender behind the back line","Midfielder","B","medium"
"What is a 'false 9' in football?","Defensive midfielder","Striker who drops deep","Wing-back","B","medium"
"What is 'gegenpressing'?","Immediate counter-pressing","Low block defense","Possession football","A","medium"
"What is a 'box-to-box' midfielder?","Plays in penalty areas only","Covers the whole pitch","Defensive midfielder","B","easy"
"What does 'parking the bus' mean?","Attacking strategy","Defensive strategy","Set piece routine","B","easy"
"What is the 'regista' role?","Striker","Playmaking deep midfielder","Goalkeeper","B","hard"
"What is a 'trequartista'?","Defender","Attacking midfielder","Goalkeeper","B","hard"
"What is 'total football'?","Dutch tactical system","Italian defensive style","English direct play","A","medium"
"Who won the 2022-23 FA Cup?","Chelsea","Manchester City","Manchester United","B","easy"
"Which team won the treble in 2022-23?","Bayern Munich","Manchester City","Real Madrid","B","easy"
"Who was the Premier League top scorer in 2022-23?","Harry Kane","Erling Haaland","Ivan Toney","B","easy"
"Which team won the Europa League in 2022-23?","Roma","Sevilla","Juventus","B","medium"
"Who won the Conference League in 2022-23?","Fiorentina","West Ham","Villarreal","B","medium"
"Which manager won the UEFA Manager of the Year 2023?","Pep Guardiola","Carlo Ancelotti","Jurgen Klopp","A","medium"
"Who won the Golden Shoe in 2022-23?","Kylian Mbappe","Erling Haaland","Robert Lewandowski","B","medium"
"Which Serie A team finished second in 2022-23?","Inter Milan","Lazio","AC Milan","B","hard"
"Who won the Bundesliga in 2022-23?","Borussia Dortmund","Bayern Munich","RB Leipzig","B","easy"
"Which team won Ligue 1 in 2022-23?","Marseille","Paris Saint-Germain","Monaco","B","easy"
"What is the world record for the 200m sprint?","19.19 seconds","19.32 seconds","19.58 seconds","A","hard"
"Who holds the 200m world record?","Tyson Gay","Usain Bolt","Yohan Blake","B","easy"
"What is the highest break in snooker?","147","155","160","A","medium"
"How many frames are in a World Snooker Championship final?","25","35","33","B","hard"
"Who has won the most F1 races in a single season?","Sebastian Vettel","Max Verstappen","Michael Schumacher","B","medium"
"What is the distance of an Olympic triathlon swim?","1.5km","2km","1km","A","hard"
"How many players are on an American football team on the field?","9","11","13","B","easy"
"What is the Super Bowl?","NBA finals","NFL championship","MLB finals","B","easy"
"Which sport uses a shuttlecock?","Tennis","Badminton","Squash","B","easy"
"What is the maximum break in darts?","180","200","170","A","medium"
"What is a 'nine-dart finish' in darts?","Scoring 501 in 9 darts","Hitting 9 bullseyes","9 consecutive 180s","A","medium"
"How many holes in a standard round of golf?","9","18","21","B","easy"
"What is the longest tennis match in history?","5 hours","8 hours","11 hours 5 minutes","C","hard"
"Who played in the longest tennis match ever?","Djokovic vs Nadal","Isner vs Mahut","Federer vs Murray","B","hard"
"What is a 'perfect game' in ten-pin bowling?","200 points","250 points","300 points","C","medium"
"How many pins are in ten-pin bowling?","8","10","12","B","easy"
"What sport is played at Wimbledon?","Golf","Tennis","Cricket","B","easy"
"What is the length of a cricket pitch?","20 meters","22 yards","25 meters","B","medium"
"How many runs is a 'boundary' worth in cricket?","4","5","6","A","easy"
"What is a 'yorker' in cricket?","A type of catch","Ball aimed at batsman's feet","Spin delivery","B","medium"
"Which team won the first ever penalty shootout in World Cup history?","Germany","Brazil","Argentina","A","hard"
"Who is England's all-time World Cup top scorer?","Gary Lineker","Harry Kane","Wayne Rooney","B","medium"
"Which country won the 2002 World Cup?","Germany","Brazil","South Korea","B","easy"
"Who scored the winning goal in the 2014 World Cup final?","Lionel Messi","Mario Gotze","Thomas Muller","B","medium"
"Which World Cup had the most goals scored?","1998 France","2014 Brazil","1954 Switzerland","C","hard"
"Who is the oldest player to score in a World Cup?","Roger Milla","Miroslav Klose","Didier Drogba","A","hard"
"Which African country beat defending champions France in 2002?","Nigeria","Senegal","Cameroon","B","medium"
"Who won the Golden Boot at the 2018 World Cup?","Kylian Mbappe","Harry Kane","Romelu Lukaku","B","medium"
"Which stadium hosted the 2022 World Cup final?","Al Bayt Stadium","Lusail Stadium","Khalifa International","B","medium"
"How many goals were scored in the 2022 World Cup final?","4","5","6","C","medium"
"Which club is nicknamed 'The Old Lady'?","AC Milan","Juventus","Inter Milan","B","easy"
"What is FC Barcelona's official motto?","More than a club","We are the best","Forever Barca","A","easy"
"Which English club is known as 'The Canaries'?","Southampton","Norwich City","Watford","B","medium"
"Which club has the most European trophies?","Real Madrid","AC Milan","Barcelona","A","medium"
"Which Scottish club has won the most league titles?","Celtic","Rangers","Aberdeen","B","medium"
"What is Real Madrid's home stadium called?","Camp Nou","Santiago Bernabeu","Wanda Metropolitano","B","easy"
"Which German club plays at Signal Iduna Park?","Bayern Munich","Borussia Dortmund","Schalke 04","B","easy"
"What year was Liverpool FC founded?","1878","1892","1901","B","hard"
"Which Italian club is known as 'I Nerazzurri'?","Juventus","Inter Milan","AC Milan","B","medium"
"What is Manchester United's nickname?","The Blues","The Red Devils","The Citizens","B","easy"
"Who won the first ever Ballon d'Or?","Alfredo Di Stefano","Stanley Matthews","Bobby Charlton","B","hard"
"How many times has Robert Lewandowski won FIFA Best Men's Player?","1","2","3","A","medium"
"Who won the World Cup Golden Ball in 2018?","Kylian Mbappe","Luka Modric","Antoine Griezmann","B","medium"
"Which goalkeeper has won the Ballon d'Or?","Gianluigi Buffon","Lev Yashin","Manuel Neuer","B","hard"
"Who won the PFA Player of the Year in 2022-23?","Erling Haaland","Kevin De Bruyne","Bukayo Saka","A","medium"
"Which player has won the most UEFA Best Player in Europe awards?","Lionel Messi","Cristiano Ronaldo","Michel Platini","A","hard"
"Who was the first English player to win the Ballon d'Or?","Bobby Charlton","Stanley Matthews","Bobby Moore","B","hard"
"Which African has been nominated most for Ballon d'Or?","Samuel Eto'o","Didier Drogba","Mohamed Salah","C","hard"
"Who won the Women's Ballon d'Or in 2022?","Alexia Putellas","Sam Kerr","Ada Hegerberg","A","medium"
"Which goalkeeper won the Yashin Trophy in 2022?","Alisson","Thibaut Courtois","Ederson","B","medium"
"Who scored Nigeria's first ever World Cup goal?","Rashidi Yekini","Samson Siasia","Emmanuel Amunike","A","medium"
"Which Nigerian club won the CAF Cup Winners' Cup in 1977?","Shooting Stars","Rangers","Enugu Rangers","C","hard"
"Who is Nigeria's most capped outfield player?","Joseph Yobo","Nwankwo Kanu","Ahmed Musa","C","medium"
"Which Nigerian player moved to Manchester United in 2024?","Taiwo Awoniyi","Victor Boniface","None","C","hard"
"Who is the current Nigeria national team captain?","Ahmed Musa","William Troost-Ekong","Alex Iwobi","B","medium"
"Which Nigerian scored in the 2022 World Cup qualifiers?","Victor Osimhen","Kelechi Iheanacho","Both","C","medium"
"Who is Nigeria's all-time leading goalscorer?","Rashidi Yekini","Segun Odegbami","Ahmed Musa","A","easy"
"Which Premier League club did Victor Moses win a title with?","Liverpool","Chelsea","Manchester City","B","easy"
"How many goals did Kanu score at the 1996 Olympics?","3","5","7","B","hard"
"Which Nigerian goalkeeper played for Lille?","Vincent Enyeama","Carl Ikeme","Maduka Okoye","A","medium"
"Who is the most followed footballer on Instagram?","Lionel Messi","Cristiano Ronaldo","Neymar","B","easy"
"Which club did Mbappe join in summer 2024?","Manchester City","Real Madrid","Liverpool","B","easy"
"Who is the current record signing for Manchester United?","Antony","Jadon Sancho","Paul Pogba","A","hard"
"Which Saudi club signed Cristiano Ronaldo?","Al-Hilal","Al-Nassr","Al-Ahli","B","easy"
"Who won the first Nations League trophy?","France","Portugal","Spain","B","hard"
"Which manager has the most Champions League titles?","Zinedine Zidane","Carlo Ancelotti","Bob Paisley","B","medium"
"Who is known as 'Mr. Champions League'?","Cristiano Ronaldo","Sergio Ramos","Luka Modric","A","easy"
"Which city will host the 2024 Champions League final?","Madrid","London","Paris","B","medium"
"How many clubs has Zlatan Ibrahimovic played for?","8","10","12","B","hard"
"Who is the most expensive defender in history?","Virgil van Dijk","Harry Maguire","Wesley Fofana","C","hard"
"Which player has the most Premier League assists?","Frank Lampard","Ryan Giggs","Kevin De Bruyne","B","medium"
"Who is the youngest Premier League captain ever?","Wayne Rooney","Harry Kane","Fabregas was 21","C","hard"
